time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-03-10 00:00:00+00:00,13,7,4,1
2026-03-11 00:00:00+00:00,1,1,9,7
2026-03-12 00:00:00+00:00,1,1,3,2
2026-03-13 00:00:00+00:00,2,2,3,3
2026-03-14 00:00:00+00:00,4,4,1,1
2026-03-15 00:00:00+00:00,1,1,0,0
2026-03-16 00:00:00+00:00,15,13,6,4
2026-03-17 00:00:00+00:00,2,2,2,1
2026-03-18 00:00:00+00:00,0,0,0,0
2026-03-19 00:00:00+00:00,1,1,3,3
2026-03-20 00:00:00+00:00,4,4,2,2
2026-03-21 00:00:00+00:00,2,1,0,0
2026-03-22 00:00:00+00:00,0,0,0,0
2026-03-23 00:00:00+00:00,5,5,1,1
