time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-03-02 00:00:00+00:00,3,3,0,0
2026-03-03 00:00:00+00:00,1,1,4,3
2026-03-04 00:00:00+00:00,0,0,2,2
2026-03-05 00:00:00+00:00,3,3,18,1
2026-03-06 00:00:00+00:00,5,3,0,0
2026-03-07 00:00:00+00:00,1,1,8,3
2026-03-08 00:00:00+00:00,1,1,3,2
2026-03-09 00:00:00+00:00,87,13,2,2
2026-03-10 00:00:00+00:00,13,7,4,1
2026-03-11 00:00:00+00:00,1,1,9,7
2026-03-12 00:00:00+00:00,1,1,3,2
2026-03-13 00:00:00+00:00,2,2,3,3
2026-03-14 00:00:00+00:00,4,4,1,1
2026-03-15 00:00:00+00:00,1,1,0,0
