time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-09-05 00:00:00+00:00,5,3,2,1
2026-09-06 00:00:00+00:00,17,11,0,0
2026-09-07 00:00:00+00:00,4,3,17,3
2026-09-08 00:00:00+00:00,53,13,5,3
2026-09-09 00:00:00+00:00,122,14,4,3
2026-09-10 00:00:00+00:00,234,20,19,5
2026-09-11 00:00:00+00:00,39,13,17,3
2026-09-12 00:00:00+00:00,107,16,3,3
2026-09-13 00:00:00+00:00,68,11,0,0
2026-09-14 00:00:00+00:00,5,4,6,5
2026-09-15 00:00:00+00:00,1,1,4,3
2026-09-16 00:00:00+00:00,124,15,8,4
2026-09-17 00:00:00+00:00,69,13,3,1
2026-09-18 00:00:00+00:00,110,22,1,1
