referrer,views_total,views_unique
Google,52,10
github.com,12,9
DuckDuckGo,7,3
chatgpt.com,3,1
search.nixos.org,2,1
yandex.ru,1,1
insights.sei.cmu.edu,1,1
mynixos.com,1,1
Bing,1,1
