time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-06-07 00:00:00+00:00,2.0,2.0,2,2
2025-06-08 00:00:00+00:00,,,8,1
2025-06-09 00:00:00+00:00,,,2,2
2025-06-10 00:00:00+00:00,175.0,22.0,90,5
2025-06-11 00:00:00+00:00,1.0,1.0,17,11
2025-06-12 00:00:00+00:00,1.0,1.0,10,7
2025-06-13 00:00:00+00:00,3.0,3.0,8,7
2025-06-14 00:00:00+00:00,,,11,6
2025-06-15 00:00:00+00:00,2.0,2.0,1,1
2025-06-16 00:00:00+00:00,8.0,3.0,6,3
2025-06-17 00:00:00+00:00,18.0,2.0,8,6
2025-06-18 00:00:00+00:00,,,16,4
2025-06-19 00:00:00+00:00,1.0,1.0,15,7
2025-06-20 00:00:00+00:00,,,7,3
