time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-06-30 00:00:00+00:00,,,11.0,6.0
2025-07-01 00:00:00+00:00,,,18.0,6.0
2025-07-02 00:00:00+00:00,1.0,1.0,15.0,8.0
2025-07-03 00:00:00+00:00,,,9.0,4.0
2025-07-04 00:00:00+00:00,16.0,5.0,6.0,5.0
2025-07-05 00:00:00+00:00,1.0,1.0,,
2025-07-06 00:00:00+00:00,,,1.0,1.0
2025-07-07 00:00:00+00:00,,,3.0,3.0
2025-07-08 00:00:00+00:00,,,2.0,2.0
2025-07-09 00:00:00+00:00,78.0,14.0,42.0,11.0
2025-07-10 00:00:00+00:00,3.0,3.0,22.0,6.0
2025-07-11 00:00:00+00:00,5.0,5.0,17.0,5.0
2025-07-12 00:00:00+00:00,1.0,1.0,2.0,1.0
2025-07-13 00:00:00+00:00,3.0,3.0,6.0,4.0
