referrer,views_total,views_unique
Google,53,12
github.com,16,9
DuckDuckGo,4,3
insights.sei.cmu.edu,1,1
mynixos.com,1,1
chatgpt.com,1,1
Bing,1,1
yandex.ru,1,1
