time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-02-28 00:00:00+00:00,,,12,4
2025-03-01 00:00:00+00:00,1.0,1.0,9,6
2025-03-02 00:00:00+00:00,1.0,1.0,6,3
2025-03-03 00:00:00+00:00,3.0,3.0,4,4
2025-03-04 00:00:00+00:00,,,3,3
2025-03-05 00:00:00+00:00,1.0,1.0,5,5
2025-03-06 00:00:00+00:00,2.0,2.0,8,5
2025-03-07 00:00:00+00:00,2.0,1.0,8,6
2025-03-08 00:00:00+00:00,1.0,1.0,1,1
2025-03-09 00:00:00+00:00,1.0,1.0,3,3
2025-03-10 00:00:00+00:00,1.0,1.0,12,7
2025-03-11 00:00:00+00:00,2.0,2.0,7,4
2025-03-12 00:00:00+00:00,1.0,1.0,15,9
2025-03-13 00:00:00+00:00,,,45,2
