time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-03-13 00:00:00+00:00,2,2,2,2
2026-03-14 00:00:00+00:00,4,4,7,3
2026-03-15 00:00:00+00:00,4,2,3,2
2026-03-16 00:00:00+00:00,14,12,7,3
2026-03-17 00:00:00+00:00,1,1,10,7
2026-03-18 00:00:00+00:00,4,2,1,1
2026-03-19 00:00:00+00:00,0,0,37,5
2026-03-20 00:00:00+00:00,1,1,3,3
2026-03-21 00:00:00+00:00,1,1,2,2
2026-03-22 00:00:00+00:00,0,0,1,1
2026-03-23 00:00:00+00:00,3,3,5,3
2026-03-24 00:00:00+00:00,0,0,1,1
2026-03-25 00:00:00+00:00,1,1,12,5
2026-03-26 00:00:00+00:00,1,1,10,7
