time_iso8601,forks_cumulative
2021-03-19 00:00:00+00:00,1
2021-05-30 00:00:00+00:00,2
2021-06-05 00:00:00+00:00,3
2021-06-30 00:00:00+00:00,4
2021-12-14 00:00:00+00:00,6
2022-10-18 00:00:00+00:00,7
2023-10-06 00:00:00+00:00,8
2023-10-31 00:00:00+00:00,9
2025-03-26 00:00:00+00:00,10
2025-04-04 00:00:00+00:00,11
2025-09-24 00:00:00+00:00,12
2025-11-21 00:00:00+00:00,13
2026-06-22 00:00:00+00:00,14
