time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-06-24 00:00:00+00:00,1,1,0,0
2025-06-25 00:00:00+00:00,0,0,1,1
2025-06-26 00:00:00+00:00,0,0,4,4
2025-06-27 00:00:00+00:00,1,1,2,2
2025-06-28 00:00:00+00:00,0,0,1,1
2025-06-29 00:00:00+00:00,0,0,1,1
2025-06-30 00:00:00+00:00,2,2,6,5
2025-07-01 00:00:00+00:00,1,1,2,2
2025-07-02 00:00:00+00:00,1,1,1,1
2025-07-03 00:00:00+00:00,1,1,0,0
2025-07-04 00:00:00+00:00,1,1,3,3
2025-07-05 00:00:00+00:00,1,1,0,0
2025-07-06 00:00:00+00:00,0,0,1,1
2025-07-07 00:00:00+00:00,3,3,2,1
2025-07-08 00:00:00+00:00,0,0,2,2
2025-07-09 00:00:00+00:00,32,7,5,4
2025-07-10 00:00:00+00:00,1,1,6,4
2025-07-11 00:00:00+00:00,1,1,2,2
2025-07-12 00:00:00+00:00,3,3,0,0
2025-07-13 00:00:00+00:00,0,0,1,1
2025-07-14 00:00:00+00:00,2,2,2,2
2025-07-15 00:00:00+00:00,3,3,0,0
2025-07-16 00:00:00+00:00,0,0,1,1
2025-07-17 00:00:00+00:00,1,1,1,1
2025-07-18 00:00:00+00:00,2,2,1,1
2025-07-20 00:00:00+00:00,0,0,4,1
2025-07-21 00:00:00+00:00,2,2,10,2
