time_iso8601,stars_cumulative
2018-05-30 00:00:00+00:00,396
2018-06-04 00:00:00+00:00,397
2018-06-11 00:00:00+00:00,398
2018-06-12 00:00:00+00:00,399
2018-06-19 00:00:00+00:00,400
2018-06-21 00:00:00+00:00,401
2018-07-01 00:00:00+00:00,402
2018-07-02 00:00:00+00:00,403
2018-07-10 00:00:00+00:00,405
2018-07-27 00:00:00+00:00,406
2018-07-31 00:00:00+00:00,412
2018-08-02 00:00:00+00:00,413
2018-08-20 00:00:00+00:00,414
2018-08-26 00:00:00+00:00,415
2018-08-28 00:00:00+00:00,416
2018-09-03 00:00:00+00:00,417
2018-09-05 00:00:00+00:00,418
2018-09-06 00:00:00+00:00,419
2018-09-09 00:00:00+00:00,420
2018-09-10 00:00:00+00:00,426
2018-09-11 00:00:00+00:00,429
2018-09-13 00:00:00+00:00,430
2018-09-18 00:00:00+00:00,431
2018-09-20 00:00:00+00:00,432
2018-09-24 00:00:00+00:00,433
2018-09-26 00:00:00+00:00,434
2018-09-29 00:00:00+00:00,435
2018-10-10 00:00:00+00:00,436
2018-10-15 00:00:00+00:00,437
2018-10-16 00:00:00+00:00,439
2018-10-20 00:00:00+00:00,440
2018-10-21 00:00:00+00:00,441
2018-10-22 00:00:00+00:00,443
2018-10-25 00:00:00+00:00,445
2018-11-04 00:00:00+00:00,446
2018-11-06 00:00:00+00:00,447
2018-11-08 00:00:00+00:00,448
2018-11-09 00:00:00+00:00,449
2018-11-13 00:00:00+00:00,455
2018-11-14 00:00:00+00:00,458
2018-11-24 00:00:00+00:00,459
2018-11-26 00:00:00+00:00,463
2018-12-06 00:00:00+00:00,464
2018-12-08 00:00:00+00:00,465
2018-12-12 00:00:00+00:00,466
2018-12-13 00:00:00+00:00,467
2018-12-23 00:00:00+00:00,468
2018-12-24 00:00:00+00:00,470
2018-12-26 00:00:00+00:00,471
2019-01-30 00:00:00+00:00,473
2019-01-31 00:00:00+00:00,485
2019-02-01 00:00:00+00:00,488
2019-02-02 00:00:00+00:00,491
2019-02-03 00:00:00+00:00,493
2019-02-04 00:00:00+00:00,496
2019-02-06 00:00:00+00:00,501
2019-02-10 00:00:00+00:00,502
2019-02-11 00:00:00+00:00,503
2019-02-14 00:00:00+00:00,504
2019-02-15 00:00:00+00:00,505
2019-02-20 00:00:00+00:00,506
2019-02-21 00:00:00+00:00,507
2019-02-25 00:00:00+00:00,508
2019-03-02 00:00:00+00:00,509
2019-03-03 00:00:00+00:00,510
2019-03-10 00:00:00+00:00,511
2019-03-15 00:00:00+00:00,512
2019-03-18 00:00:00+00:00,514
2019-03-19 00:00:00+00:00,515
2019-03-23 00:00:00+00:00,516
2019-03-25 00:00:00+00:00,517
2019-03-26 00:00:00+00:00,518
2019-04-01 00:00:00+00:00,519
2019-04-03 00:00:00+00:00,521
2019-04-06 00:00:00+00:00,522
2019-04-07 00:00:00+00:00,523
2019-04-10 00:00:00+00:00,524
2019-04-13 00:00:00+00:00,525
2019-04-16 00:00:00+00:00,526
2019-04-17 00:00:00+00:00,527
2019-04-24 00:00:00+00:00,529
2019-04-25 00:00:00+00:00,531
2019-04-28 00:00:00+00:00,532
2019-04-29 00:00:00+00:00,533
2019-05-01 00:00:00+00:00,534
2019-05-03 00:00:00+00:00,536
2019-05-10 00:00:00+00:00,537
2019-05-15 00:00:00+00:00,538
2019-05-16 00:00:00+00:00,539
2019-05-19 00:00:00+00:00,540
2019-05-23 00:00:00+00:00,541
2019-05-26 00:00:00+00:00,542
2019-05-30 00:00:00+00:00,543
2019-06-01 00:00:00+00:00,544
2019-06-04 00:00:00+00:00,545
2019-06-05 00:00:00+00:00,547
2019-06-10 00:00:00+00:00,548
2019-06-13 00:00:00+00:00,549
2019-06-20 00:00:00+00:00,550
2019-06-26 00:00:00+00:00,551
2019-07-08 00:00:00+00:00,552
2019-07-09 00:00:00+00:00,553
2019-07-15 00:00:00+00:00,554
2019-07-19 00:00:00+00:00,555
2019-07-20 00:00:00+00:00,559
2019-07-22 00:00:00+00:00,570
2019-07-23 00:00:00+00:00,581
2019-07-24 00:00:00+00:00,585
2019-07-25 00:00:00+00:00,587
2019-07-26 00:00:00+00:00,588
2019-07-30 00:00:00+00:00,594
2019-07-31 00:00:00+00:00,595
2019-08-01 00:00:00+00:00,597
2019-08-02 00:00:00+00:00,598
2019-08-04 00:00:00+00:00,599
2019-08-05 00:00:00+00:00,600
2019-08-06 00:00:00+00:00,603
2019-08-07 00:00:00+00:00,604
2019-08-08 00:00:00+00:00,605
2019-08-09 00:00:00+00:00,608
2019-08-11 00:00:00+00:00,609
2019-08-12 00:00:00+00:00,611
2019-08-13 00:00:00+00:00,613
2019-08-14 00:00:00+00:00,614
2019-08-19 00:00:00+00:00,616
2019-08-21 00:00:00+00:00,618
2019-08-22 00:00:00+00:00,620
2019-08-24 00:00:00+00:00,621
2019-08-27 00:00:00+00:00,624
2019-08-28 00:00:00+00:00,625
2019-08-29 00:00:00+00:00,626
2019-09-02 00:00:00+00:00,627
2019-09-05 00:00:00+00:00,628
2019-09-08 00:00:00+00:00,629
2019-09-09 00:00:00+00:00,630
2019-09-10 00:00:00+00:00,633
2019-09-12 00:00:00+00:00,634
2019-09-16 00:00:00+00:00,635
2019-09-19 00:00:00+00:00,636
2019-09-21 00:00:00+00:00,637
2019-09-24 00:00:00+00:00,639
2019-09-25 00:00:00+00:00,640
2019-09-26 00:00:00+00:00,642
2019-09-27 00:00:00+00:00,643
2019-09-29 00:00:00+00:00,644
2019-10-01 00:00:00+00:00,645
2019-10-06 00:00:00+00:00,646
2019-10-08 00:00:00+00:00,647
2019-10-09 00:00:00+00:00,648
2019-10-12 00:00:00+00:00,649
2019-10-14 00:00:00+00:00,650
2019-10-16 00:00:00+00:00,651
2019-10-18 00:00:00+00:00,652
2019-10-25 00:00:00+00:00,653
2019-10-26 00:00:00+00:00,655
2019-10-29 00:00:00+00:00,656
2019-10-30 00:00:00+00:00,657
2019-10-31 00:00:00+00:00,658
2019-11-01 00:00:00+00:00,659
2019-11-06 00:00:00+00:00,661
2019-11-07 00:00:00+00:00,662
2019-11-08 00:00:00+00:00,663
2019-11-15 00:00:00+00:00,664
2019-11-16 00:00:00+00:00,665
2019-11-23 00:00:00+00:00,666
2019-11-24 00:00:00+00:00,667
2019-11-25 00:00:00+00:00,668
2019-11-27 00:00:00+00:00,669
2019-11-30 00:00:00+00:00,670
2019-12-02 00:00:00+00:00,671
