time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-08-02 00:00:00+00:00,11,9,18,18
2026-08-03 00:00:00+00:00,32,17,91,20
2026-08-04 00:00:00+00:00,12,5,39,21
2026-08-05 00:00:00+00:00,13,10,74,36
2026-08-06 00:00:00+00:00,15,9,59,20
2026-08-07 00:00:00+00:00,7,5,27,12
2026-08-08 00:00:00+00:00,16,12,41,25
2026-08-09 00:00:00+00:00,9,7,26,5
2026-08-10 00:00:00+00:00,46,8,14,8
2026-08-11 00:00:00+00:00,17,14,38,29
2026-08-12 00:00:00+00:00,14,10,22,6
2026-08-13 00:00:00+00:00,13,9,51,15
2026-08-14 00:00:00+00:00,22,14,56,30
2026-08-15 00:00:00+00:00,28,11,75,28
