time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-08-09 00:00:00+00:00,9,7,26,5
2026-08-10 00:00:00+00:00,46,8,14,8
2026-08-11 00:00:00+00:00,17,14,38,29
2026-08-12 00:00:00+00:00,14,10,22,6
2026-08-13 00:00:00+00:00,13,9,51,15
2026-08-14 00:00:00+00:00,22,14,56,30
2026-08-15 00:00:00+00:00,28,11,75,28
2026-08-16 00:00:00+00:00,7,5,17,10
2026-08-17 00:00:00+00:00,7,7,61,32
2026-08-18 00:00:00+00:00,12,9,24,14
2026-08-19 00:00:00+00:00,8,8,41,17
2026-08-20 00:00:00+00:00,6,5,39,27
2026-08-21 00:00:00+00:00,8,7,34,20
2026-08-22 00:00:00+00:00,22,18,20,17
