time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-03-19 00:00:00+00:00,1,1,29,16
2026-03-20 00:00:00+00:00,4,4,11,6
2026-03-21 00:00:00+00:00,7,4,16,9
2026-03-22 00:00:00+00:00,1,1,13,7
2026-03-23 00:00:00+00:00,74,30,116,16
2026-03-24 00:00:00+00:00,32,15,28,17
2026-03-25 00:00:00+00:00,9,6,27,13
2026-03-26 00:00:00+00:00,14,9,48,20
2026-03-27 00:00:00+00:00,11,5,51,7
2026-03-28 00:00:00+00:00,19,11,26,12
2026-03-29 00:00:00+00:00,6,6,29,8
2026-03-30 00:00:00+00:00,12,9,42,13
2026-03-31 00:00:00+00:00,5,4,24,9
2026-04-01 00:00:00+00:00,8,7,48,15
