time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-16 00:00:00+00:00,4,3,15,9
2026-06-17 00:00:00+00:00,11,9,35,15
2026-06-18 00:00:00+00:00,11,4,51,16
2026-06-19 00:00:00+00:00,28,5,29,9
2026-06-20 00:00:00+00:00,4,2,34,8
2026-06-21 00:00:00+00:00,16,7,15,6
2026-06-22 00:00:00+00:00,27,11,27,13
2026-06-23 00:00:00+00:00,69,16,12,9
2026-06-24 00:00:00+00:00,7,3,22,15
2026-06-25 00:00:00+00:00,3,3,20,12
2026-06-26 00:00:00+00:00,5,5,8,8
2026-06-27 00:00:00+00:00,4,2,25,11
2026-06-28 00:00:00+00:00,4,3,11,9
2026-06-29 00:00:00+00:00,4,4,10,7
