time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-23 00:00:00+00:00,69,16,12,9
2026-06-24 00:00:00+00:00,7,3,22,15
2026-06-25 00:00:00+00:00,3,3,20,12
2026-06-26 00:00:00+00:00,5,5,8,8
2026-06-27 00:00:00+00:00,4,2,25,11
2026-06-28 00:00:00+00:00,4,3,11,9
2026-06-29 00:00:00+00:00,4,4,10,7
2026-06-30 00:00:00+00:00,4,4,9,7
2026-07-01 00:00:00+00:00,78,18,38,22
2026-07-02 00:00:00+00:00,16,11,8,6
2026-07-03 00:00:00+00:00,4,4,18,8
2026-07-04 00:00:00+00:00,9,7,15,9
2026-07-05 00:00:00+00:00,7,5,11,7
2026-07-06 00:00:00+00:00,11,11,79,12
