time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-11 00:00:00+00:00,12,9,33,12
2026-05-12 00:00:00+00:00,6,5,12,11
2026-05-13 00:00:00+00:00,14,10,24,10
2026-05-14 00:00:00+00:00,26,16,25,8
2026-05-15 00:00:00+00:00,12,10,33,10
2026-05-16 00:00:00+00:00,7,5,14,5
2026-05-17 00:00:00+00:00,3,2,10,3
2026-05-18 00:00:00+00:00,10,7,8,5
2026-05-19 00:00:00+00:00,19,15,30,10
2026-05-20 00:00:00+00:00,15,10,12,8
2026-05-21 00:00:00+00:00,17,9,23,9
2026-05-22 00:00:00+00:00,15,13,28,10
2026-05-23 00:00:00+00:00,7,5,22,13
2026-05-24 00:00:00+00:00,16,15,40,14
