time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-02-10 00:00:00+00:00,4,4,20,11
2026-02-11 00:00:00+00:00,15,5,19,11
2026-02-12 00:00:00+00:00,6,5,23,10
2026-02-13 00:00:00+00:00,2,2,14,9
2026-02-14 00:00:00+00:00,4,2,11,5
2026-02-15 00:00:00+00:00,4,4,20,7
2026-02-16 00:00:00+00:00,8,6,11,7
2026-02-17 00:00:00+00:00,3,2,23,12
2026-02-18 00:00:00+00:00,8,7,20,15
2026-02-19 00:00:00+00:00,5,5,19,10
2026-02-20 00:00:00+00:00,6,5,12,7
2026-02-21 00:00:00+00:00,9,7,37,10
2026-02-22 00:00:00+00:00,10,6,15,6
2026-02-23 00:00:00+00:00,6,5,51,5
