referrer,views_total,views_unique
Google,119,58
github.com,71,34
cn.bing.com,6,5
chatgpt.com,6,3
DuckDuckGo,5,4
yandex.com,4,1
Bing,3,2
0x1.gitlab.io,3,1
search.brave.com,2,2
habr.com,2,2
