time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-10-14 00:00:00+00:00,3,3,55,27
2025-10-15 00:00:00+00:00,4,4,53,9
2025-10-16 00:00:00+00:00,2,2,50,12
2025-10-17 00:00:00+00:00,2,2,17,5
2025-10-18 00:00:00+00:00,5,3,20,10
2025-10-19 00:00:00+00:00,1,1,3,3
2025-10-20 00:00:00+00:00,4,4,15,13
2025-10-21 00:00:00+00:00,3,3,17,11
2025-10-22 00:00:00+00:00,4,3,22,14
2025-10-23 00:00:00+00:00,2,2,12,8
2025-10-24 00:00:00+00:00,2,2,17,10
2025-10-25 00:00:00+00:00,10,6,23,6
2025-10-26 00:00:00+00:00,2,2,11,5
2025-10-27 00:00:00+00:00,4,4,72,11
