time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-24 00:00:00+00:00,16,15,40,14
2026-05-25 00:00:00+00:00,12,11,28,17
2026-05-26 00:00:00+00:00,11,7,24,9
2026-05-27 00:00:00+00:00,118,31,31,14
2026-05-28 00:00:00+00:00,12,9,22,9
2026-05-29 00:00:00+00:00,9,9,18,10
2026-05-30 00:00:00+00:00,11,7,42,14
2026-05-31 00:00:00+00:00,5,4,12,5
2026-06-01 00:00:00+00:00,33,10,15,6
2026-06-02 00:00:00+00:00,10,7,25,14
2026-06-03 00:00:00+00:00,8,7,10,8
2026-06-04 00:00:00+00:00,6,6,19,8
2026-06-05 00:00:00+00:00,3,3,23,10
2026-06-06 00:00:00+00:00,7,5,13,8
