time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-03-04 00:00:00+00:00,4,3,14,10
2026-03-05 00:00:00+00:00,9,5,15,3
2026-03-06 00:00:00+00:00,1,1,23,14
2026-03-07 00:00:00+00:00,13,9,15,3
2026-03-08 00:00:00+00:00,11,11,76,21
2026-03-09 00:00:00+00:00,11,9,42,12
2026-03-10 00:00:00+00:00,3,3,37,9
2026-03-11 00:00:00+00:00,11,8,107,33
2026-03-12 00:00:00+00:00,17,16,37,19
2026-03-13 00:00:00+00:00,5,4,37,12
2026-03-14 00:00:00+00:00,8,5,22,8
2026-03-15 00:00:00+00:00,4,2,6,5
2026-03-16 00:00:00+00:00,5,4,14,9
2026-03-17 00:00:00+00:00,7,6,21,7
