time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-01-21 00:00:00+00:00,,,13,7
2025-01-22 00:00:00+00:00,2.0,2.0,36,19
2025-01-23 00:00:00+00:00,1.0,1.0,40,14
2025-01-24 00:00:00+00:00,,,74,17
2025-01-25 00:00:00+00:00,2.0,2.0,29,9
2025-01-26 00:00:00+00:00,1.0,1.0,5,2
2025-01-27 00:00:00+00:00,1.0,1.0,74,17
2025-01-28 00:00:00+00:00,,,45,23
2025-01-29 00:00:00+00:00,,,32,13
2025-01-30 00:00:00+00:00,3.0,2.0,41,13
2025-01-31 00:00:00+00:00,4.0,4.0,71,11
2025-02-01 00:00:00+00:00,4.0,2.0,6,4
2025-02-02 00:00:00+00:00,2.0,2.0,5,4
2025-02-03 00:00:00+00:00,2.0,2.0,25,11
2025-02-04 00:00:00+00:00,1.0,1.0,58,21
