time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-07-13 00:00:00+00:00,3,3,39,9
2025-07-14 00:00:00+00:00,6,5,87,18
2025-07-15 00:00:00+00:00,3,3,65,21
2025-07-16 00:00:00+00:00,16,12,43,17
2025-07-17 00:00:00+00:00,4,4,42,9
2025-07-18 00:00:00+00:00,7,7,12,10
2025-07-19 00:00:00+00:00,3,1,10,7
2025-07-20 00:00:00+00:00,1,1,19,8
2025-07-21 00:00:00+00:00,3,3,18,12
2025-07-22 00:00:00+00:00,1,1,18,11
2025-07-23 00:00:00+00:00,5,4,25,17
2025-07-24 00:00:00+00:00,1,1,32,21
2025-07-25 00:00:00+00:00,2,2,25,10
2025-07-26 00:00:00+00:00,4,2,30,12
