time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-11-19 00:00:00+00:00,4,4,26,13
2025-11-20 00:00:00+00:00,2,2,29,12
2025-11-21 00:00:00+00:00,3,3,33,14
2025-11-22 00:00:00+00:00,4,2,21,10
2025-11-23 00:00:00+00:00,3,3,12,11
2025-11-24 00:00:00+00:00,5,3,31,17
2025-11-25 00:00:00+00:00,2,2,33,15
2025-11-26 00:00:00+00:00,1,1,40,13
2025-11-27 00:00:00+00:00,2,2,15,8
2025-11-28 00:00:00+00:00,2,2,34,13
2025-11-29 00:00:00+00:00,6,3,36,25
2025-11-30 00:00:00+00:00,4,4,21,17
2025-12-01 00:00:00+00:00,15,13,21,14
2025-12-02 00:00:00+00:00,18,15,27,13
