referrer,views_total,views_unique
Google,104,51
github.com,59,29
chatgpt.com,17,6
cn.bing.com,5,4
search.brave.com,3,3
yandex.ru,2,2
DuckDuckGo,2,2
habr.com,2,2
news.ycombinator.com,1,1
learn-anything.xyz,1,1
