time_iso8601,stars_cumulative
2023-08-05 00:00:00+00:00,217
2023-08-23 00:00:00+00:00,219
2023-08-31 00:00:00+00:00,220
2023-09-18 00:00:00+00:00,221
2023-09-28 00:00:00+00:00,222
2023-10-02 00:00:00+00:00,224
2023-10-18 00:00:00+00:00,225
2023-10-20 00:00:00+00:00,226
2023-10-24 00:00:00+00:00,227
2023-11-07 00:00:00+00:00,228
2023-11-09 00:00:00+00:00,230
2023-11-10 00:00:00+00:00,231
2023-11-11 00:00:00+00:00,233
2023-11-12 00:00:00+00:00,234
2023-11-20 00:00:00+00:00,235
2023-12-02 00:00:00+00:00,236
2023-12-18 00:00:00+00:00,237
2023-12-20 00:00:00+00:00,238
2024-01-07 00:00:00+00:00,240
2024-01-14 00:00:00+00:00,241
2024-01-27 00:00:00+00:00,242
2024-02-25 00:00:00+00:00,243
2024-02-29 00:00:00+00:00,244
2024-03-05 00:00:00+00:00,245
2024-03-08 00:00:00+00:00,246
2024-03-11 00:00:00+00:00,247
2024-03-25 00:00:00+00:00,248
2024-04-03 00:00:00+00:00,249
2024-04-13 00:00:00+00:00,250
2024-04-16 00:00:00+00:00,251
2024-04-22 00:00:00+00:00,252
2024-04-28 00:00:00+00:00,253
2024-05-06 00:00:00+00:00,254
2024-05-07 00:00:00+00:00,255
2024-05-15 00:00:00+00:00,256
2024-06-12 00:00:00+00:00,258
2024-06-18 00:00:00+00:00,259
2024-06-25 00:00:00+00:00,260
2024-07-07 00:00:00+00:00,261
2024-08-08 00:00:00+00:00,262
2024-09-04 00:00:00+00:00,263
2024-09-06 00:00:00+00:00,264
2024-09-11 00:00:00+00:00,265
2024-09-29 00:00:00+00:00,266
2024-10-09 00:00:00+00:00,267
2024-11-02 00:00:00+00:00,268
2024-11-12 00:00:00+00:00,269
2024-11-20 00:00:00+00:00,270
2024-12-08 00:00:00+00:00,271
2024-12-29 00:00:00+00:00,272
2025-02-06 00:00:00+00:00,273
2025-02-09 00:00:00+00:00,274
2025-02-12 00:00:00+00:00,275
2025-02-15 00:00:00+00:00,276
